hour,forecast_hour,ta (RMSE),ta (MAE),GHI (RMSE),GHI (MAE),rh (RMSE),rh (MAE),va (RMSE),va (MAE),WBGT (RMSE),WBGT (MAE)
9,1,0.6815919786180609,0.5789228571428567,82.11540659340366,46.25714285714285,4.832570357867153,3.794505494505495,0.9040721569809594,0.6949235623076924,0.6132598989067358,0.5227745292277796
9,2,0.7500080222853018,0.6482351648351636,94.38906041101758,49.90109890109891,5.927807444485786,4.786813186813187,1.0261895769256943,0.8004138960439561,0.7723606597517023,0.6385063457126164
9,3,0.893312455636053,0.7429416483516504,102.82320578717456,54.037362637362634,6.263043532158648,5.068131868131867,1.1397325547418509,0.8457990310989011,0.9972467065948922,0.8162175332043525
9,4,0.8125707780580402,0.6516156043956067,99.43679476856721,52.203296703296715,6.995603014641521,5.745054945054944,1.130709631989123,0.8901982278021977,0.9352442190789783,0.7475067235757602
9,5,0.8107985791391493,0.6020263736263738,94.93930449746057,53.72417582417583,7.722508844743581,6.263736263736264,1.1009371536655432,0.8336436443956045,0.8667045502705528,0.6986557073509251
9,6,0.8610820844880999,0.6469052747252738,94.11335169375792,48.99450549450548,8.796146758791476,6.9989010989011,1.200490860824536,0.8539187125274728,0.8335440082181103,0.6596746237705282
9,7,0.7903799576980483,0.6028073626373662,105.63992543614296,55.21098901098901,9.062457275382426,7.030769230769231,1.0560546608426002,0.762021141208791,0.7894250188538978,0.5834552727783745
9,8,0.8319593613457132,0.6625282417582438,104.95499140002927,56.38791208791208,9.299568700858014,7.254945054945056,1.1055882389207792,0.8171486363736263,0.8153723873104973,0.6166495089924579
9,9,0.8648178553282216,0.6969098901098897,116.43976460223809,64.76118461538461,8.980962771757397,7.128571428571429,1.1562178875874163,0.8564514703296704,0.917870932934835,0.6363977992051887
9,10,0.926168326584985,0.7809529670329673,119.50691414086688,65.37912087912088,9.616092281651147,7.606593406593406,1.1109713880552023,0.7962181780219778,0.8932116308108496,0.6377726999494299
9,11,0.9862843150664767,0.8029737362637366,100.03375584117747,53.75164835164835,10.069347458587284,7.915384615384614,1.1831176768620217,0.8698170375824176,0.882923625833295,0.6384462796677818
9,12,0.9812331194745939,0.8064318681318684,114.59796711082647,62.67032967032966,10.146287146397093,8.007692307692308,1.2008488827195019,0.8748317031868132,0.9733514259975917,0.7064720533487059
9,13,1.0865145416801438,0.9013306593406591,118.03229256399321,61.55054945054945,10.446257019348401,8.394505494505495,1.3261877407486449,0.9445745953846154,0.9990342491092642,0.6891080245184867
9,14,1.086140191611594,0.9216583516483545,123.45002236523905,66.4912087912088,10.291423934199125,8.305494505494504,1.309074369153444,0.911675678131868,1.0544279379764827,0.7249451735348394
9,15,1.0750810300036129,0.929241648351651,105.03748846334216,61.99699703296702,9.762672801020232,7.862637362637362,1.2716405070243264,0.9548656884615383,0.9638919265669305,0.6865191571894718
