datetime,GHI_error_Texas,cloud_error_Texas,forecast,ta_error_Texas,rh_error_Texas,GHI_error_Iowa,cloud_error_Iowa,ta_error_Iowa,rh_error_Iowa,GHI_error_Nevada,cloud_error_Nevada,ta_error_Nevada,rh_error_Nevada,GHI_error_Seattle,cloud_error_Seattle,ta_error_Seattle,rh_error_Seattle
2023-06-01 12:00:00,10.0,-19.0,3,0.10762999999997191,-5.0,78.0,4.0,0.3576299999999719,4.299999999999997,13.0,0.0,0.9395099999999879,-2.0,1.0,-18.0,-1.8729900000000157,1.0
2023-06-01 15:00:00,13.0,-12.0,3,-0.06997999999999394,-1.6000000000000014,-472.0,21.0,-0.19497999999999038,0.7000000000000028,604.0,14.0,0.5871300000000019,-3.0,4.0,0.0,-1.162869999999998,0.7999999999999972
2023-06-02 12:00:00,3.0,-21.0,3,0.10623000000003913,-7.5,-2.0,-6.0,-1.5187699999999609,6.399999999999999,-3.0,0.0,1.0355600000000322,-2.799999999999997,-1.0,0.0,-1.1519399999999678,2.3999999999999986
2023-06-02 15:00:00,-101.0,3.0,3,0.07322999999996682,-7.299999999999997,514.0,-1.0,-0.05177000000003318,0.0,8.0,0.0,-0.16039999999998855,-1.0,-2.0,0.0,-0.5978999999999886,4.799999999999997
2023-06-03 12:00:00,-1.0,0.0,3,0.8290700000000015,-7.799999999999997,-1.0,0.0,0.14157000000000153,-7.600000000000001,0.0,0.0,1.3884400000000028,-3.0999999999999996,-2.0,0.0,-1.6740599999999972,-2.3000000000000043
2023-06-03 15:00:00,1.0,-24.0,3,0.2777999999999565,-9.399999999999999,12.0,-3.0,0.2777999999999565,-7.700000000000003,3.0,0.0,0.16935000000000855,-0.40000000000000036,8.0,0.0,-1.268149999999995,-4.5
2023-06-04 12:00:00,27.0,2.0,3,-0.8748799999999655,6.900000000000006,1.0,0.0,0.00012000000003453692,-6.5,-2.0,0.0,1.4585199999999645,-2.1999999999999993,-17.0,0.0,-1.478980000000039,8.600000000000001
2023-06-04 15:00:00,1.0,-9.0,3,0.08447999999998501,-2.8999999999999986,7.0,-19.0,-1.415520000000015,3.200000000000003,8.0,0.0,0.29792000000003327,-0.10000000000000142,-6.0,0.0,-1.0145799999999632,2.400000000000002
2023-06-05 12:00:00,12.0,-8.0,3,-0.9913300000000049,-4.099999999999994,-20.0,-1.0,0.19616999999999507,-8.400000000000006,8.0,0.0,1.0711999999999833,-4.0,-1.0,0.0,-0.9913000000000238,-0.10000000000000142
2023-06-05 15:00:00,475.0,4.0,3,4.779540000000054,-35.4,-69.0,0.0,1.029540000000054,-13.5,777.0,-99.0,1.3745499999999993,-1.5999999999999996,2.0,0.0,-1.1254500000000043,0.29999999999999716
2023-06-06 12:00:00,41.0,-8.0,3,-1.105009999999993,0.7000000000000028,-10.0,-50.0,-1.730009999999993,8.700000000000003,-4.0,0.0,1.540740000000028,-2.5,0.0,0.0,-1.459259999999972,3.8999999999999986
2023-06-06 15:00:00,6.0,-17.0,3,-0.26833999999997005,-5.299999999999997,189.0,-24.0,0.85666000000003,-10.999999999999996,1.0,0.0,0.14550000000002683,-0.20000000000000018,-4.0,0.0,-1.4169999999999767,0.3000000000000007
2023-06-07 12:00:00,-37.0,-4.0,3,-0.43876000000000204,0.29999999999999716,539.0,13.0,2.686239999999998,-10.0,120.0,0.0,1.8119199999999829,-2.6999999999999993,5.0,0.0,-1.2505800000000171,1.5
2023-06-07 15:00:00,220.0,-36.0,3,0.26089999999999236,-10.799999999999997,28.0,-4.0,0.4483999999999959,-19.0,222.0,0.0,0.9402200000000143,-1.1000000000000014,-1.0,0.0,-1.7472799999999857,11.599999999999998
2023-06-08 12:00:00,35.0,0.0,3,0.5509699999999498,-6.700000000000003,-2.0,0.0,1.9884699999999498,-3.799999999999997,-5.0,0.0,0.6090699999999707,0.8000000000000007,-85.0,0.0,-1.6409300000000293,5.800000000000004
2023-06-08 15:00:00,920.0,0.0,3,1.1136000000000195,-10.700000000000003,16.0,0.0,0.11360000000002302,-5.899999999999999,770.0,-100.0,0.7508900000000303,-3.5000000000000018,1.0,0.0,0.18839000000003026,-0.6999999999999957
2023-06-09 12:00:00,-5.0,-9.0,3,-1.0221500000000106,0.7999999999999972,-33.0,0.0,-0.5846500000000106,2.700000000000003,63.0,7.0,1.0712800000000016,-2.0999999999999996,78.0,-16.0,-0.17871999999999844,-11.700000000000003
2023-06-09 15:00:00,-167.0,4.0,3,-0.3440699999999879,-4.599999999999994,361.0,0.0,0.9684300000000121,-7.900000000000002,-50.0,33.0,0.8292399999999702,0.09999999999999964,575.0,-78.0,2.3292399999999702,-19.60000000000001
2023-06-10 12:00:00,-73.0,-15.0,3,-0.3490600000000086,-3.0,-847.0,0.0,-2.8490600000000086,7.399999999999999,5.0,-2.0,1.3283400000000256,-2.5999999999999996,99.0,-7.0,-0.23415999999997616,-1.0
2023-06-10 15:00:00,120.0,-17.0,3,1.023869999999988,-9.800000000000004,-553.0,0.0,-0.6011300000000155,-1.8000000000000043,-22.0,0.0,1.369169999999997,-3.9000000000000004,117.0,0.0,0.1816699999999969,-4.799999999999997
2023-06-11 12:00:00,-15.0,60.0,3,-1.0631200000000263,3.4000000000000057,-419.0,0.0,-1.0006200000000263,4.799999999999997,-69.0,-6.0,1.3044399999999996,0.29999999999999716,1.0,-21.0,-1.0080600000000004,1.2000000000000028
